"session_id","total_utterances","strict_2_1","strict_3_1","strict_4_1","strict_5_1","strict_6_1","strict_7_1","strict_8_1","strict_9_1","strict_10_1"
"61","1664","270","452","547","611","649","689","727","760","779"
"62","343","74","111","128","145","152","159","169","178","181"
"63","1644","399","632","726","805","845","889","915","945","958"
"64","1087","264","435","511","553","586","608","629","646","661"
"65","1809","146","323","391","459","509","550","577","605","630"
"66","2738","569","934","1093","1251","1353","1438","1493","1529","1565"
"67","243","46","80","96","110","117","122","127","132","138"
"68","224","48","78","87","95","104","108","111","112","112"
"69","965","180","318","388","440","473","505","522","538","553"
"70","370","93","156","177","196","203","213","225","228","229"
"71","1161","180","463","525","587","602","621","632","639","646"
"72","445","69","137","169","189","203","215","218","223","228"
"73","228","50","78","86","90","99","108","112","116","119"
"74","1135","241","420","489","546","577","608","629","644","663"
"75","511","92","171","199","221","239","250","257","268","273"
"76","2159","416","791","905","1003","1071","1116","1154","1185","1206"
"77","330","90","151","175","192","198","209","214","218","220"
"78","3047","497","909","1075","1216","1309","1374","1434","1481","1516"
"79","590","152","232","273","305","322","335","346","354","362"
"80","1479","241","399","471","519","567","596","620","643","665"
"81","896","100","252","292","333","355","377","401","418","422"
"82","670","118","195","236","266","283","296","307","318","325"
"83","1560","245","425","503","563","614","648","684","705","728"
"84","352","46","98","121","138","147","157","161","167","170"
"85","283","70","109","131","145","151","158","162","164","167"
"86","699","118","234","271","313","331","351","367","384","391"
"87","372","77","146","159","170","181","194","196","207","213"
"88","536","93","185","222","255","269","291","300","313","331"
"89","414","83","140","161","176","197","207","215","220","223"
"90","238","35","82","91","99","104","112","113","115","117"
"91","754","108","186","225","259","280","294","303","315","321"
"92","1933","300","512","633","711","764","823","859","889","917"
"93","222","38","68","79","86","95","99","104","108","111"
"94","148","26","58","67","74","80","84","85","84","85"
"95","115","41","52","64","72","73","74","77","77","77"
"96","1547","334","541","641","714","742","774","802","839","857"
"97","839","134","244","299","352","381","404","422","435","448"
"98","1406","221","376","460","522","572","604","635","659","674"
"99","304","41","79","101","115","127","136","144","146","146"
"100","285","56","93","116","126","139","144","154","157","160"
"101","1309","280","474","574","645","674","698","724","741","756"
"102","354","83","123","138","159","170","176","182","190","194"
"103","423","95","160","191","208","216","230","236","245","248"
"104","1737","225","419","500","564","609","655","694","725","762"
"105","408","47","100","115","138","148","155","162","171","172"
"106","1004","109","212","272","317","347","374","389","407","416"
"107","1136","110","270","307","365","395","433","452","472","488"
"108","208","37","65","72","77","85","91","96","98","99"
"109","1290","93","217","279","321","346","374","395","414","431"
"110","894","95","174","211","236","259","274","291","304","320"
"111","547","117","194","231","255","275","291","299","308","314"
"112","624","124","210","242","267","289","305","317","332","340"
